"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","02.01.2020 02:00 - 02.01.2020 02:30 (UTC)","1959","n/e","n/e","4616","667","0","n/e","n/e","n/e","0","","402","n/e","n/e","6957","122","n/e","0","n/e","2862","5277"
"BZN|GB","02.01.2020 02:30 - 02.01.2020 03:00 (UTC)","1975","n/e","n/e","4682","686","0","n/e","n/e","n/e","0","","400","n/e","n/e","6968","121","n/e","0","n/e","3069","5065"
"BZN|GB","02.01.2020 03:00 - 02.01.2020 03:30 (UTC)","2009","n/e","n/e","4670","708","0","n/e","n/e","n/e","0","","398","n/e","n/e","6963","132","n/e","0","n/e","3235","5048"
"BZN|GB","02.01.2020 03:30 - 02.01.2020 04:00 (UTC)","2015","n/e","n/e","4598","734","0","n/e","n/e","n/e","0","","387","n/e","n/e","6962","120","n/e","0","n/e","3397","4880"
"BZN|GB","02.01.2020 04:00 - 02.01.2020 04:30 (UTC)","1973","n/e","n/e","5004","691","0","n/e","n/e","n/e","0","","387","n/e","n/e","6973","120","n/e","0","n/e","3559","4887"
"BZN|GB","02.01.2020 04:30 - 02.01.2020 05:00 (UTC)","2001","n/e","n/e","4960","702","0","n/e","n/e","n/e","0","","419","n/e","n/e","6955","121","n/e","0","n/e","3542","5010"
"BZN|GB","02.01.2020 05:00 - 02.01.2020 05:30 (UTC)","1978","n/e","n/e","4801","772","0","n/e","n/e","n/e","0","","435","n/e","n/e","6971","121","n/e","0","n/e","3853","4650"
"BZN|GB","02.01.2020 05:30 - 02.01.2020 06:00 (UTC)","1984","n/e","n/e","4751","912","0","n/e","n/e","n/e","0","","525","n/e","n/e","6969","121","n/e","0","n/e","4034","4785"
"BZN|GB","02.01.2020 06:00 - 02.01.2020 06:30 (UTC)","1989","n/e","n/e","5428","1313","0","n/e","n/e","n/e","0","","538","n/e","n/e","6974","122","n/e","0","n/e","4308","4783"
"BZN|GB","02.01.2020 06:30 - 02.01.2020 07:00 (UTC)","2055","n/e","n/e","6690","1822","0","n/e","n/e","n/e","0","","532","n/e","n/e","6963","122","n/e","0","n/e","4313","4851"
"BZN|GB","02.01.2020 07:00 - 02.01.2020 07:30 (UTC)","2174","n/e","n/e","7864","1855","0","n/e","n/e","n/e","0","","580","n/e","n/e","6964","121","n/e","0","n/e","4640","5197"
"BZN|GB","02.01.2020 07:30 - 02.01.2020 08:00 (UTC)","2308","n/e","n/e","9218","2160","0","n/e","n/e","n/e","0","","568","n/e","n/e","6967","121","n/e","0","n/e","4471","5227"
"BZN|GB","02.01.2020 08:00 - 02.01.2020 08:30 (UTC)","2311","n/e","n/e","9766","2378","0","n/e","n/e","n/e","0","","632","n/e","n/e","6969","120","n/e","2","n/e","4743","5511"
"BZN|GB","02.01.2020 08:30 - 02.01.2020 09:00 (UTC)","2298","n/e","n/e","10167","2618","0","n/e","n/e","n/e","63","","630","n/e","n/e","6952","164","n/e","63","n/e","4766","5751"
"BZN|GB","02.01.2020 09:00 - 02.01.2020 09:30 (UTC)","2288","n/e","n/e","10192","3103","0","n/e","n/e","n/e","0","","654","n/e","n/e","6957","122","n/e","256","n/e","4872","5750"
"BZN|GB","02.01.2020 09:30 - 02.01.2020 10:00 (UTC)","2271","n/e","n/e","10221","3288","0","n/e","n/e","n/e","0","","663","n/e","n/e","6952","122","n/e","381","n/e","5157","5949"
